time,EG,EU,GU
2020-08-20 03:09:00,0.90425,1.18439,1.30968
2020-08-20 03:10:00,0.90433,1.18446,1.30968
2020-08-20 03:11:00,0.90436,1.18457,1.30973
2020-08-20 03:12:00,0.90428,1.18457,1.30984
2020-08-20 03:13:00,0.9042600000000001,1.1846,1.30991
2020-08-20 03:14:00,0.9042399999999999,1.18465,1.30999
2020-08-20 03:15:00,0.9042100000000001,1.18472,1.31012
2020-08-20 03:16:00,0.9042899999999999,1.1846,1.30991
2020-08-20 03:17:00,0.9042600000000001,1.18481,1.31017
2020-08-20 03:18:00,0.9042100000000001,1.18478,1.3102
2020-08-20 03:19:00,0.9042,1.18481,1.31027
2020-08-20 03:20:00,0.90422,1.18471,1.31009
2020-08-20 03:21:00,0.9043100000000001,1.18487,1.31021
2020-08-20 03:22:00,0.9043,1.18485,1.31018
2020-08-20 03:23:00,0.90428,1.18496,1.3103
2020-08-20 03:24:00,0.9043100000000001,1.18506,1.31038
2020-08-20 03:25:00,0.9043,1.18517,1.31048
2020-08-20 03:26:00,0.9042399999999999,1.18507,1.31042
2020-08-20 03:27:00,0.9042100000000001,1.18514,1.31056
2020-08-20 03:28:00,0.90425,1.18513,1.31049
2020-08-20 03:29:00,0.9043100000000001,1.18532,1.31064
2020-08-20 03:30:00,0.90433,1.18519,1.31048
2020-08-20 03:31:00,0.9043,1.1851,1.31038
2020-08-20 03:32:00,0.9042100000000001,1.18517,1.31058
2020-08-20 03:33:00,0.9042100000000001,1.18507,1.31057
2020-08-20 03:34:00,0.90423,1.18514,1.3105
2020-08-20 03:35:00,0.9041899999999999,1.18512,1.3106
2020-08-20 03:36:00,0.90417,1.18493,1.31042
2020-08-20 03:37:00,0.9041,1.18487,1.31046
2020-08-20 03:38:00,0.90405,1.18486,1.31048
2020-08-20 03:39:00,0.9040799999999999,1.18487,1.31046
2020-08-20 03:40:00,0.9040799999999999,1.18492,1.31053
2020-08-20 03:41:00,0.904,1.18469,1.31046
2020-08-20 03:42:00,0.90394,1.18474,1.31055
2020-08-20 03:43:00,0.9039299999999999,1.18469,1.31049
2020-08-20 03:44:00,0.9039299999999999,1.18467,1.31048
2020-08-20 03:45:00,0.9038700000000001,1.18459,1.31048
2020-08-20 03:46:00,0.90396,1.18452,1.31025
2020-08-20 03:47:00,0.9040299999999999,1.1847,1.31035
2020-08-20 03:48:00,0.90397,1.18457,1.31031
2020-08-20 03:49:00,0.90396,1.18461,1.31037
2020-08-20 03:50:00,0.90394,1.18461,1.31037
2020-08-20 03:51:00,0.90394,1.18456,1.31036
2020-08-20 03:52:00,0.90396,1.18464,1.31039
2020-08-20 03:53:00,0.90394,1.18459,1.31035
2020-08-20 03:54:00,0.90395,1.18458,1.31037
2020-08-20 03:55:00,0.9038700000000001,1.18467,1.31056
2020-08-20 03:56:00,0.90389,1.18463,1.31046
2020-08-20 03:57:00,0.9038799999999999,1.18486,1.31072
2020-08-20 03:58:00,0.90389,1.1848,1.31069
2020-08-20 03:59:00,0.9038700000000001,1.18481,1.31071
2020-08-20 04:00:00,0.9038700000000001,1.18471,1.31065
2020-08-20 04:01:00,0.90389,1.18475,1.31065
2020-08-20 04:02:00,0.9039,1.18471,1.31056
2020-08-20 04:03:00,0.9039200000000001,1.18477,1.31058
2020-08-20 04:04:00,0.90396,1.18478,1.31054
2020-08-20 04:05:00,0.9039799999999999,1.18478,1.31054
2020-08-20 04:06:00,0.90397,1.18481,1.31061
2020-08-20 04:07:00,0.90399,1.18488,1.31064
2020-08-20 04:08:00,0.90397,1.18498,1.31075
2020-08-20 04:09:00,0.90399,1.18506,1.31082
2020-08-20 04:10:00,0.90396,1.18507,1.31087
2020-08-20 04:11:00,0.90397,1.18504,1.31081
2020-08-20 04:12:00,0.90396,1.18502,1.31081
2020-08-20 04:13:00,0.9039299999999999,1.18488,1.3107
2020-08-20 04:14:00,0.9039299999999999,1.18492,1.31078
2020-08-20 04:15:00,0.90394,1.18492,1.31076
2020-08-20 04:16:00,0.90405,1.18484,1.31052
2020-08-20 04:17:00,0.9040299999999999,1.18484,1.31048
2020-08-20 04:18:00,0.9039799999999999,1.18492,1.31067
2020-08-20 04:19:00,0.904,1.18491,1.31067
2020-08-20 04:20:00,0.90397,1.18491,1.31069
2020-08-20 04:21:00,0.90402,1.18492,1.31064
2020-08-20 04:22:00,0.90402,1.18489,1.31057
2020-08-20 04:23:00,0.9039299999999999,1.18477,1.3106
2020-08-20 04:25:00,0.9039299999999999,1.18477,1.31059
2020-08-20 04:26:00,0.9039299999999999,1.18469,1.31048
2020-08-20 04:27:00,0.90395,1.18476,1.31056
2020-08-20 04:28:00,0.90394,1.18478,1.31056
2020-08-20 04:29:00,0.9039799999999999,1.18477,1.3105
2020-08-20 04:30:00,0.90399,1.18492,1.31067
2020-08-20 04:31:00,0.90402,1.18489,1.31061
2020-08-20 04:32:00,0.90404,1.1849,1.31054
2020-08-20 04:33:00,0.90407,1.18495,1.31056
2020-08-20 04:34:00,0.9040799999999999,1.1849,1.31051
2020-08-20 04:35:00,0.90407,1.18489,1.3105
2020-08-20 04:36:00,0.90409,1.18495,1.31054
2020-08-20 04:37:00,0.9041100000000001,1.185,1.31055
2020-08-20 04:38:00,0.90409,1.18494,1.31057
2020-08-20 04:39:00,0.90412,1.185,1.31056
2020-08-20 04:40:00,0.9041399999999999,1.18493,1.31045
2020-08-20 04:41:00,0.90409,1.1849,1.31046
2020-08-20 04:42:00,0.90405,1.18489,1.3105
2020-08-20 04:43:00,0.9040100000000001,1.18481,1.31049
2020-08-20 04:44:00,0.90396,1.1848,1.31052
2020-08-20 04:45:00,0.90405,1.18487,1.31048
2020-08-20 04:46:00,0.9040799999999999,1.1849,1.31048
2020-08-20 04:47:00,0.90409,1.1849,1.31048
2020-08-20 04:48:00,0.90415,1.18496,1.31047
2020-08-20 04:49:00,0.9041399999999999,1.18502,1.31058
2020-08-20 04:50:00,0.9041600000000001,1.18496,1.31047
2020-08-20 04:51:00,0.9041100000000001,1.18484,1.31037
2020-08-20 04:52:00,0.9041399999999999,1.18489,1.31039
2020-08-20 04:53:00,0.9041600000000001,1.1847,1.31015
2020-08-20 04:54:00,0.90422,1.18466,1.31006
2020-08-20 04:55:00,0.9041899999999999,1.18465,1.31005
2020-08-20 04:56:00,0.9043100000000001,1.18468,1.30993
2020-08-20 04:57:00,0.90438,1.18467,1.3098
2020-08-20 04:58:00,0.90443,1.18483,1.3099
2020-08-20 04:59:00,0.9045,1.18476,1.30976
2020-08-20 05:00:00,0.9046,1.18477,1.3096
2020-08-20 05:01:00,0.90455,1.18471,1.30958
2020-08-20 05:02:00,0.90454,1.1847,1.30964
2020-08-20 05:03:00,0.9045,1.1845,1.30946
2020-08-20 05:04:00,0.90446,1.18439,1.30938
2020-08-20 05:05:00,0.9043899999999999,1.18418,1.30923
2020-08-20 05:06:00,0.90443,1.1842,1.30921
2020-08-20 05:07:00,0.90441,1.18413,1.30925
2020-08-20 05:08:00,0.9044,1.18412,1.30919
2020-08-20 05:09:00,0.90436,1.18409,1.30921
2020-08-20 05:10:00,0.9043700000000001,1.18413,1.30921
2020-08-20 05:11:00,0.90438,1.18418,1.30927
2020-08-20 05:12:00,0.90438,1.18423,1.3093
2020-08-20 05:13:00,0.90445,1.18426,1.30923
2020-08-20 05:14:00,0.90449,1.18417,1.30909
2020-08-20 05:15:00,0.9045,1.18428,1.30919
2020-08-20 05:16:00,0.90451,1.18418,1.30909
2020-08-20 05:17:00,0.9044700000000001,1.18419,1.30914
2020-08-20 05:18:00,0.90448,1.1841,1.30904
2020-08-20 05:19:00,0.90448,1.1841,1.30903
2020-08-20 05:20:00,0.9045200000000001,1.18411,1.30897
2020-08-20 05:21:00,0.90454,1.18414,1.30901
2020-08-20 05:22:00,0.90451,1.18402,1.30891
2020-08-20 05:23:00,0.90461,1.18379,1.30853
2020-08-20 05:24:00,0.9046200000000001,1.1838,1.30852
2020-08-20 05:25:00,0.90466,1.18383,1.30854
2020-08-20 05:26:00,0.90456,1.18385,1.30866
2020-08-20 05:27:00,0.90453,1.18379,1.30868
2020-08-20 05:28:00,0.90455,1.18375,1.30858
2020-08-20 05:29:00,0.9044700000000001,1.18351,1.30848
2020-08-20 05:30:00,0.9044399999999999,1.18365,1.30864
2020-08-20 05:31:00,0.9045,1.18394,1.30882
2020-08-20 05:32:00,0.90451,1.18383,1.30871
2020-08-20 05:33:00,0.90448,1.1838,1.3087
2020-08-20 05:34:00,0.90454,1.18381,1.30862
2020-08-20 05:35:00,0.90476,1.18364,1.3081
2020-08-20 05:36:00,0.90476,1.18369,1.30817
2020-08-20 05:37:00,0.90489,1.18381,1.30814
2020-08-20 05:38:00,0.90496,1.18372,1.30789
2020-08-20 05:39:00,0.90491,1.18377,1.30805
2020-08-20 05:40:00,0.90484,1.18374,1.30808
2020-08-20 05:41:00,0.90499,1.18374,1.30791
2020-08-20 05:42:00,0.90499,1.18371,1.30789
2020-08-20 05:43:00,0.90502,1.18354,1.30766
2020-08-20 05:44:00,0.90501,1.18361,1.30772
2020-08-20 05:45:00,0.9050799999999999,1.18354,1.30757
2020-08-20 05:46:00,0.9050600000000001,1.18348,1.30752
2020-08-20 05:47:00,0.9050799999999999,1.18359,1.30763
2020-08-20 05:48:00,0.90502,1.18363,1.30773
2020-08-20 05:49:00,0.90499,1.18355,1.30771
2020-08-20 05:50:00,0.90494,1.18355,1.30779
2020-08-20 05:51:00,0.9049299999999999,1.18354,1.30782
2020-08-20 05:52:00,0.90491,1.18345,1.30773
2020-08-20 05:53:00,0.90491,1.18342,1.30771
2020-08-20 05:54:00,0.9048299999999999,1.18331,1.30771
2020-08-20 05:55:00,0.9049299999999999,1.18371,1.30804
2020-08-20 05:56:00,0.90486,1.18382,1.30823
2020-08-20 05:57:00,0.9048299999999999,1.18397,1.30847
2020-08-20 05:58:00,0.90461,1.18408,1.30887
2020-08-20 05:59:00,0.9047,1.18406,1.30873
2020-08-20 06:00:00,0.90481,1.18414,1.30866
2020-08-20 06:01:00,0.90481,1.18383,1.30828
2020-08-20 06:02:00,0.9047799999999999,1.18369,1.30819
